time,data
-0.0500000628,-0.04522599999999999
-0.049990262800000004,-0.04522599999999999
-0.0499804628,-0.08542699999999992
-0.0499706628,-0.04522599999999999
-0.0499608628,-0.08542699999999992
-0.0499510628,-0.08542699999999992
-0.049941262800000004,-0.04522599999999999
-0.0499314628,-0.04522599999999999
-0.0499216628,-0.04522599999999999
-0.049911862800000005,-0.04522599999999999
-0.0499020628,-0.005025000000000057
-0.0498922628,-0.04522599999999999
-0.0498824628,-0.04522599999999999
-0.0498726628,-0.005025000000000057
-0.049862862800000005,-0.04522599999999999
-0.0498530628,-0.04522599999999999
-0.0498432628,-0.08542699999999992
-0.0498334628,-0.005025000000000057
-0.0498236628,-0.04522599999999999
-0.049813862800000004,-0.04522599999999999
-0.0498040628,-0.04522599999999999
-0.0497942628,-0.04522599999999999
-0.0497844628,-0.08542699999999992
-0.0497746628,-0.04522599999999999
-0.049764862800000004,-0.005025000000000057
-0.0497550628,-0.04522599999999999
-0.0497452628,-0.04522599999999999
-0.049735462800000005,-0.08542699999999992
-0.0497256628,-0.08542699999999992
-0.0497158628,-0.04522599999999999
-0.0497060628,-0.04522599999999999
-0.0496962628,-0.04522599999999999
-0.049686462800000004,-0.005025000000000057
-0.0496766628,-0.08542699999999992
-0.0496668628,-0.04522599999999999
-0.0496570628,-0.04522599999999999
-0.0496472628,-0.08542699999999992
-0.049637462800000004,-0.04522599999999999
-0.0496276628,-0.04522599999999999
-0.0496178628,-0.04522599999999999
-0.049608062800000005,-0.04522599999999999
-0.0495982628,-0.08542699999999992
-0.049588462800000004,-0.04522599999999999
-0.0495786628,-0.04522599999999999
-0.0495688628,-0.04522599999999999
-0.049559062800000005,-0.04522599999999999
-0.0495492628,-0.04522599999999999
-0.0495394628,-0.04522599999999999
-0.0495296628,-0.04522599999999999
-0.0495198628,-0.04522599999999999
-0.049510062800000004,-0.04522599999999999
-0.0495002628,-0.04522599999999999
-0.0494904628,-0.04522599999999999
-0.0494806628,-0.04522599999999999
-0.0494708628,-0.04522599999999999
-0.049461062800000004,-0.005025000000000057
-0.0494512628,-0.04522599999999999
-0.0494414628,-0.08542699999999992
-0.049431662800000005,-0.08542699999999992
-0.0494218628,-0.04522599999999999
-0.0494120628,-0.04522599999999999
-0.0494022628,-0.08542699999999992
-0.0493924628,-0.04522599999999999
-0.049382662800000005,-0.04522599999999999
-0.0493728628,-0.04522599999999999
-0.0493630628,-0.04522599999999999
-0.0493532628,-0.04522599999999999
-0.0493434628,-0.04522599999999999
-0.049333662800000004,-0.04522599999999999
-0.0493238628,-0.04522599999999999
-0.0493140628,-0.005025000000000057
-0.0493042628,-0.04522599999999999
-0.0492944628,-0.04522599999999999
-0.049284662800000004,-0.04522599999999999
-0.0492748628,-0.04522599999999999
-0.0492650628,-0.04522599999999999
-0.049255262800000005,-0.04522599999999999
-0.0492454628,-0.005025000000000057
-0.0492356628,-0.04522599999999999
-0.0492258628,-0.04522599999999999
-0.0492160628,-0.005025000000000057
-0.049206262800000004,-0.04522599999999999
-0.0491964628,-0.04522599999999999
-0.0491866628,-0.04522599999999999
